Student_ID,Student_Name,Gender,Department,Attendance,Math_Score,Science_Score,English_Score,Final_Result
1,Student_001,Male,ECE,100,49,,70,Pass
2,Student_002,Male,CSE,68,48,46,89,Fail
3,Student_003,Male,CIVIL,65,62,64,99,Fail
4,Student_004,Female,CSE,72,88,63,92,Fail
5,Student_005,Male,ECE,70,89,78,70,Fail
6,Student_006,Male,EEE,81,48,46,83,Pass
7,Student_007,Male,MECH,82,68,40,93,Pass
8,Student_008,Male,CSE,65,72,81,59,Fail
9,Student_009,Male,MECH,74,72,45,64,Fail
10,Student_010,Female,EEE,77,93,81,55,Pass
11,Student_011,Male,ECE,73,69,44,56,Fail
12,Student_012,Female,CSE,89,83,69,63,Pass
13,Student_013,Female,CSE,74,39,75,86,Fail
14,Student_014,Female,MECH,73,75,62,98,Fail
15,Student_015,Female,CIVIL,69,68,52,66,Fail
16,Student_016,Male,CIVIL,-5,86,81,63,Pass
17,Student_017,Male,ECE,91,46,41,49,Pass
18,Student_018,Female,CIVIL,87,43,84,83,Pass
19,Student_019,Female,CSE,76,36,49,69,Pass
20,Student_020,Male,EEE,78,90,55,93,Pass
21,Student_021, male ,CIVIL,92,57,99,48,Pass
22,Student_022,Male,CIVIL,98,60,54,82,Pass
23,Student_023,,CSE,93,35,76,97,Pass
24,Student_024,Male,CIVIL,83,74,65,42,Pass
25,Student_025,Male,ECE,65,45,97,43,Fail
26,Student_026,Male,CIVIL,90,56,68,89,Pass
27,Student_027,Female,CIVIL,72,74,86,82,Fail
28,Student_028,Male,EEE,88,50,66,63,Pass
29,Student_029,Male,CSE,61,64,63,35,Fail
30,Student_030,Male,CIVIL,74,43,39,77,Fail
31,Student_031,Male,CIVIL,75,,97,62,Pass
32,Student_032,Female,ECE,96,95,66,95,Pass
33,Student_033,Female,MECH,66,47,90,80,Fail
34,Student_034,Female,EEE,89,41,47,42,Pass
35,Student_035,Female,ECE,66,66,59,59,Fail
36,Student_036,Male,CSE,87,58,70,94,Pass
37,Student_037,Male,ECE,88,47,41,36,Pass
38,Student_038,Male,MECH,70,87,97,96,Fail
39,Student_039,Female,EEE,63,56,83,35,Fail
40,Student_040,Male,ECE,89,71,89,97,Pass
41,Student_041,Female,CSE,78,62,42,42,Pass
42,Student_042,Male,CIVIL,63,96,99,55,Fail
43,Student_043,Male,MECH,65,58,43,43,Fail
44,Student_044,Female,CIVIL,67,150,40,45,Fail
45,Student_045,Female,ECE,96,75,68,61,Pass
46,Student_046,Female,EEE,76,85,51,73,Pass
47,Student_047,Male,CIVIL,64,36,93,47,Fail
48,Student_048,Female,CSE,73,99,68,,Fail
49,Student_049,Female,CIVIL,-5,,71,55,Pass
50,Student_050,Male,EEE,79,36,73,48,Pass
51,Student_051,Female,CIVIL,67,48,54,69,Fail
52,Student_052,Female,EEE,73,78,61,68,Fail
53,Student_053,Male,CSE,63,46,89,70,Fail
54,Student_054,Female,CIVIL,81,,68,55,Pass
55,Student_055,Male,CIVIL,87,36,49,44,Pass
56,Student_056,Male,CSE,62,82,53,90,Fail
57,Student_057,Male,ECE,79,81,40,80,Pass
58,Student_058,Male,ECE,66,80,87,54,Fail
59,Student_059,Female,MECH,71,87,38,57,Fail
60,Student_060,Female,CSE,75,69,55,48,Pass
61,Student_061,Female,EEE,90,63,60,93,Pass
62,Student_062,Female,EEE,74,63,38,59,Fail
63,Student_063,Female,CIVIL,77,43,70,79,Pass
64,Student_064,Male,CIVIL,81,38,49,68,Pass
65,Student_065,Female,EEE,76,39,48,90,Pass
66,Student_066,Male,EEE,87,100,49,84,Pass
67,Student_067,Female,MECH,62,90,35,60,Fail
68,Student_068,Female,CIVIL,64,77,75,50,Fail
69,Student_069,,CIVIL,79,87,76,86,Pass
70,Student_070,Male,CIVIL,68,59,88,83,Fail
71,Student_071,Female,EEE,96,73,86,35,Pass
72,Student_072,Female,MECH,73,90,76,94,Fail
73,Student_073,,EEE,73,100,95,56,Fail
74,Student_074,Female,ECE,92,77,46,65,Pass
75,Student_075,Male,MECH,72,53,38,40,Fail
76,Student_076,Male,MECH,99,44,93,88,Pass
77,Student_077,Male,CSE,91,86,66,53,Pass
78,Student_078,Male,CIVIL,87,63,57,94,Pass
79,Student_079,Female,CIVIL,75,50,93,52,Pass
80,Student_080,Female,CIVIL,95,75,91,99,Pass
81,Student_081,Female,ECE,88,55,95,92,Pass
82,Student_082,Female,MECH,100,70,97,65,Pass
83,Student_083,Female,EEE,64,71,65,69,Fail
84,Student_084,Male,MECH,94,45,52,54,Pass
85,Student_085,Female,EEE,69,62,43,88,Fail
86,Student_086,Male,MECH,94,94,88,42,Pass
87,Student_087,Male,EEE,84,37,83,96,Pass
88,Student_088,Female,ECE,79,84,88,63,Pass
89,Student_089,Female,EEE,77,90,97,38,Pass
90,Student_090,Male,MECH,85,56,94,51,Pass
91,Student_091,Male,MECH,97,38,45,89,Pass
92,Student_092,Female,ECE,71,41,68,83,Fail
93,Student_093,Female,MECH,89,76,78,83,Pass
94,Student_094,Male,EEE,76,45,95,37,Pass
95,Student_095,Male,ECE,74,43,40,38,Fail
96,Student_096,Female,CSE,61,54,65,51,Fail
97,Student_097,Female,ECE,96,62,94,67,Pass
98,Student_098,Male,CIVIL,98,49,55,74,Pass
99,Student_099,Male,CSE,61,74,83,85,Fail
100,Student_100,Male,CIVIL,97,66,48,73,Pass
101,Student_101,Male,CIVIL,62,79,89,82,Fail
102,Student_102,Male,MECH,81,36,88,97,Pass
103,Student_103,Male,CIVIL,83,93,54,90,Pass
104,Student_104,Female,EEE,77,96,94,90,Pass
105,Student_105,Male,MECH,75,46,70,92,Pass
106,Student_106,Female,EEE,96,,78,38,Pass
107,Student_107,Female,EEE,71,97,62,80,Fail
108,Student_108,Male,ECE,77,70,36,59,Pass
109,Student_109,Female,MECH,86,97,65,95,Pass
110,Student_110,Female,ECE,61,46,72,63,Fail
111,Student_111, male ,CIVIL,79,82,95,79,Pass
112,Student_112,Female,EEE,81,80,93,69,Pass
113,Student_113,Male,CIVIL,74,50,59,75,Fail
114,Student_114,Female,CIVIL,71,59,62,96,Fail
115,Student_115,Female,ECE,93,71,47,59,Pass
116,Student_116,Male,EEE,83,57,73,36,Pass
117,Student_117,Female,CSE,62,41,72,51,Fail
118,Student_118,Female,EEE,60,71,95,96,Fail
119,Student_119,,CSE,71,41,67,96,Fail
120,Student_120,Male,ECE,85,97,44,41,Pass
121,Student_121,Male,CIVIL,96,73,45,66,Pass
122,Student_122,Female,EEE,86,63,,92,Pass
123,Student_123,Male,ECE,97,89,74,42,Pass
124,Student_124,Male,ECE,100,62,68,45,Pass
125,Student_125,Female,MECH,71,44,55,35,Fail
